sector,amount_($m),hq,series,source,date,company,source_page
Fintech - Credit Card/Lending,11.44,Pune,Debt,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/exclusive-onecard-raises-rs-95-cr-debt-from-alteria/'}",2024-01-04,OneCard,874b2efb487d828fb04f01ed59487d0a
Healthtech,0.5,Gurugram,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/larkai-healthcare-raises-500k-in-seed-round/'}",2024-01-03,Larkai Healthcare,874b2efb487d828fb04f01ed59487d0a
Fintech,5.2,Gurugram,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/exclusive-bnpl-startup-salaryse-raises-5-2-mn-from-surge-and-pravega/'}",2024-01-02,SalarySe,874b2efb487d828fb04f01ed59487d0a
Healthtech,7.5,Bhubaneshwar,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/exclusive-curebay-raises-7-5-mn-from-elevar-equity/'}",2024-01-05,CureBay,874b2efb487d828fb04f01ed59487d0a
E-Commerce - Grocery and Milk,20.0,Gurugram,Series E,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/country-delight-raises-20-mn-in-series-e-round/'}",2024-01-05,Country Delight,874b2efb487d828fb04f01ed59487d0a
Devotional,0.72,Noida,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/devdham-raises-seed-round-from-titan-capital-and-others/'}",2024-01-03,DevDham,874b2efb487d828fb04f01ed59487d0a
Hospitality - Food & Beverages,10.0,Bengaluru,Bridge Round - Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/vro-hospitality-raises-10-mn-led-by-axis-bank-and-gruhas/'}",2024-01-03,VRO Hospitality,874b2efb487d828fb04f01ed59487d0a
Edtech,,Bengaluru,Pre-Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://cionews.co.in/maidaan-raises-undisclosed-amount-in-pre-seed-round/'}",2024-01-04,Maidaan,874b2efb487d828fb04f01ed59487d0a
Co-Living,1.2,Bengaluru,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/co-living-startup-settl-raises-rs-10-cr-in-pre-series-a-round/'}",2024-01-02,Settl,874b2efb487d828fb04f01ed59487d0a
Healthcare,0.24,Hyderabad,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://www.vccircle.com/totalemergency-network-maidaan-raise-early-stage-funding'}",2024-01-04,Total Emergency Network,874b2efb487d828fb04f01ed59487d0a
Logistics,11.24,Chennai,Series B,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/exclusive-tiger-global-backed-wiz-freight-kicks-off-series-b-round/'}",2024-01-04,Wiz Freight,874b2efb487d828fb04f01ed59487d0a
B2B E-Commerce - Seafood,13.25,Bengaluru,Series C,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/exclusive-captain-fresh-raises-over-13-mn-in-fresh-tranche/'}",2024-01-03,Captain Fresh,874b2efb487d828fb04f01ed59487d0a
Fuel Aggregator,0.12,Noida,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/gails-pankh-backs-fuel-aggregator-startup-nawgati/'}",2024-01-04,Nawgati,874b2efb487d828fb04f01ed59487d0a
